stoneKiller;callingStation1;callingStation2;callingStation3
6000;5980;5980;6040
6000;5960;5960;6080
5990;6010;5940;6060
5970;5990;5920;6120
5970;6030;5900;6100
5970;6010;5880;6140
5960;5990;5860;6190
5940;5970;5920;6170
5940;5980;5900;6180
5840;5880;6220;6060
5830;5930;6200;6040
5810;5910;6180;6100
5810;5890;6160;6140
5810;5870;6200;6120
5800;5885;6215;6100
5780;5865;6275;6080
5780;5845;6315;6060
5780;5885;6295;6040
5770;5865;6345;6020
5650;5745;6225;6380
5650;5725;6265;6360
5970;5625;6165;6240
5960;5605;6145;6290
5940;5665;6125;6270
5940;5645;6165;6250
5940;5625;6145;6290
6280;5525;6025;6170
6260;5505;6085;6150
6160;5405;6385;6050
6160;5385;6425;6030
6500;5285;6305;5910
6480;5265;6365;5890
6480;5245;6345;5930
6480;5225;6385;5910
6470;5205;6365;5960
6450;5185;6425;5940
6450;5225;6405;5920
6450;5265;6385;5900
6440;5315;6365;5880
6320;5195;6245;6240
6320;5235;6225;6220
6320;5215;6265;6200
6210;5565;6145;6080
6190;5545;6125;6140
6190;5525;6105;6180
6190;5565;6085;6160
6180;5545;6135;6140
6160;5605;6115;6120
6160;5585;6095;6160
6160;5565;6135;6140
6150;5615;6115;6120
6130;5595;6175;6100
6130;5635;6155;6080
6130;5615;6195;6060
6120;5595;6245;6040
6100;5575;6225;6100
6100;5555;6265;6080
6100;5595;6245;6060
6090;5575;6295;6040
6070;5595;6275;6060
6070;5575;6255;6100
6070;5555;6295;6080
6410;5455;6175;5960
6390;5435;6235;5940
6390;5415;6275;5920
6390;5395;6315;5900
6730;5295;6195;5780
6710;5275;6215;5800
6710;5315;6195;5780
6710;5295;6235;5760
6700;5275;6215;5810
6680;5335;6195;5790
6680;5375;6175;5770
6680;5355;6155;5810
6670;5335;6135;5860
6650;5315;6195;5840
6650;5295;6235;5820
6970;5195;6135;5700
6960;5245;6115;5680
6940;5225;6095;5740
6940;5205;6075;5780
6840;5105;5975;6080
6730;5455;5855;5960
6610;5805;5735;5850
6610;5845;5715;5830
6930;5745;5615;5710
6920;5795;5595;5690
6900;5775;5655;5670
6900;5755;5695;5650
6900;5735;5735;5630
7240;5635;5615;5510
7590;5515;5495;5400
7590;5555;5475;5380
7590;5535;5515;5360
7580;5515;5495;5410
7560;5495;5475;5470
7560;5475;5455;5510
7560;5455;5435;5550
7550;5505;5415;5530
7530;5485;5475;5510
7530;5525;5455;5490
7850;5425;5355;5370
7840;5405;5335;5420
7820;5465;5315;5400
7820;5445;5295;5440
7820;5425;5335;5420
8160;5325;5215;5300
8140;5305;5275;5280
8140;5285;5315;5260
8140;5325;5295;5240
8130;5305;5310;5255
8110;5365;5290;5235
8110;5345;5270;5275
8110;5385;5250;5255
8100;5435;5230;5235
8080;5495;5210;5215
8080;5475;5190;5255
7980;5795;5090;5135
7970;5775;5070;5185
7950;5835;5050;5165
7950;5815;5030;5205
7850;5715;5350;5085
7840;5695;5330;5135
7820;5675;5390;5115
8120;5575;5290;5015
8120;5555;5270;5055
8110;5535;5320;5035
8090;5555;5340;5015
7990;5455;5240;5315
7990;5435;5220;5355
7980;5485;5200;5335
7860;5835;5080;5225
7860;5815;5120;5205
7860;5795;5100;5245
7750;5695;5430;5125
7730;5675;5410;5185
7730;5655;5450;5165
7730;5635;5490;5145
7720;5615;5470;5195
7700;5595;5530;5175
7700;5575;5570;5155
7700;5555;5550;5195
7690;5535;5600;5175
7670;5515;5580;5235
7670;5495;5560;5275
7570;5395;5460;5575
7560;5445;5440;5555
7540;5425;5500;5535
7540;5405;5480;5575
7860;5305;5380;5455
7850;5285;5430;5435
7730;5635;5310;5325
8030;5535;5210;5225
8030;5515;5190;5265
8020;5565;5170;5245
8000;5545;5230;5225
8300;5445;5130;5125
8300;5485;5110;5105
8290;5465;5090;5155
8270;5525;5070;5135
8270;5565;5050;5115
8270;5545;5090;5095
8260;5595;5070;5075
8610;5475;4950;4965
8610;5455;4990;4945
8610;5495;4970;4925
8600;5475;5020;4905
8580;5455;5080;4885
8580;5435;5120;4865
8580;5415;5160;4845
8570;5395;5210;4825
8450;5745;5090;4715
8450;5745;5090;4715
8450;5725;5130;4695
8340;5625;5460;4575
8220;5505;5340;4935
8120;5405;5640;4835
8120;5385;5680;4815
8110;5365;5730;4795
